rank,country_noc,gold,silver,bronze,total
1,USA,1082.0,847.0,750.0,2679.0
2,URS,395.0,319.0,296.0,1010.0
3,GBR,300.0,334.0,320.0,954.0
4,FRA,246.0,266.0,301.0,813.0
5,GER,243.0,273.0,296.0,812.0
6,ITA,229.0,201.0,218.0,648.0
7,CHN,263.0,199.0,174.0,636.0
8,AUS,162.0,170.0,212.0,544.0
9,HUN,184.0,161.0,180.0,525.0
10,SWE,151.0,182.0,188.0,521.0
11,JPN,169.0,150.0,180.0,499.0
12,RUS,148.0,130.0,153.0,431.0
13,GDR,153.0,129.0,127.0,409.0
14,NED,98.0,107.0,127.0,332.0
15,CAN,71.0,112.0,145.0,328.0
16,FIN,106.0,87.0,121.0,314.0
17,ROU,90.0,97.0,121.0,308.0
18,POL,75.0,91.0,140.0,306.0
19,KOR,96.0,91.0,100.0,287.0
20,CUB,84.0,69.0,82.0,235.0
21,BUL,54.0,88.0,82.0,224.0
22,SUI,60.0,87.0,74.0,221.0
23,DEN,51.0,85.0,84.0,220.0
24,FRG,56.0,67.0,81.0,204.0
25,BEL,48.0,58.0,67.0,173.0
26,ESP,48.0,72.0,49.0,169.0
27,NOR,60.0,54.0,50.0,164.0
28,GRE,44.0,59.0,54.0,157.0
29,BRA,37.0,42.0,71.0,150.0
30,TCH,49.0,50.0,47.0,146.0
31,UKR,35.0,36.0,68.0,139.0
32,NZL,53.0,33.0,51.0,137.0
33,KEN,35.0,42.0,36.0,113.0
34,EUN,45.0,38.0,29.0,112.0
35,AUT,25.0,40.0,46.0,111.0
36,TUR,41.0,26.0,36.0,103.0
37,RSA,27.0,34.0,30.0,91.0
38,JAM,26.0,36.0,26.0,88.0
39,BLR,13.0,30.0,42.0,85.0
40,YUG,26.0,29.0,28.0,83.0
41,ARG,21.0,26.0,30.0,77.0
42,IRI,24.0,23.0,29.0,76.0
43,MEX,13.0,24.0,35.0,72.0
44,KAZ,14.0,21.0,36.0,71.0
45,ROC,20.0,28.0,23.0,71.0
46,CZE,19.0,22.0,26.0,67.0
47,ETH,23.0,12.0,23.0,58.0
48,PRK,16.0,16.0,23.0,55.0
49,AZE,7.0,14.0,28.0,49.0
50,CRO,14.0,13.0,14.0,41.0
