rank,country_noc,gold,silver,bronze,total
1,USA,1235,1013,887,3135
2,URS,473,376,355,1204
3,GER,367,390,374,1131
4,GBR,326,361,366,1053
5,FRA,303,334,378,1015
6,ITA,283,257,289,829
7,CHN,325,258,221,804
8,SWE,220,237,251,708
9,JPN,206,190,224,620
10,AUS,186,196,234,616
11,CAN,157,191,232,580
12,NOR,212,189,176,577
13,HUN,192,170,192,554
14,RUS,194,169,188,551
15,GDR,192,165,162,519
16,NED,166,163,184,513
17,FIN,151,152,186,489
18,KOR,142,130,126,398
19,SUI,124,136,137,397
20,AUT,98,128,140,366
21,POL,83,102,154,339
22,ROU,93,101,124,318
23,CUB,86,70,88,244
24,FRG,67,82,94,243
25,BUL,58,91,88,237
26,DEN,53,88,89,230
27,ESP,54,77,61,192
28,BEL,53,61,77,191
29,TCH,51,58,62,171
30,BRA,40,49,81,170
31,GRE,45,60,60,165
32,NZL,65,42,56,163
33,UKR,41,43,76,160
34,EUN,54,44,37,135
35,KEN,39,44,41,124
36,ROC,28,46,46,120
37,TUR,41,29,41,111
38,CZE,32,33,41,106
39,BLR,21,37,47,105
40,RSA,28,37,32,97
41,JAM,27,39,28,94
42,IRI,27,29,32,88
43,YUG,26,32,29,87
44,KAZ,16,27,43,86
45,ARG,22,27,31,80
46,MEX,13,27,37,77
47,PRK,16,19,28,63
48,ETH,24,15,23,62
49,CRO,20,21,18,59
50,AZE,9,16,31,56
51,SLO,14,18,23,55
52,UZB,19,8,23,50
53,GEO,13,15,19,47
54,IRL,15,11,19,45
55,EST,14,11,19,44
56,SVK,14,18,11,43
57,TPE,9,11,23,43
58,IND,10,10,21,41
59,THA,11,11,19,41
60,EGY,9,11,19,39
61,INA,10,14,15,39
62,COL,5,16,17,38
63,POR,6,11,15,32
64,LAT,5,14,12,31
65,MGL,2,12,17,31
66,LTU,6,9,15,30
67,SRB,9,8,12,29
68,NGR,3,11,13,27
69,MAR,8,5,13,26
70,ARM,2,11,9,22
71,ISR,4,6,10,20
72,ALG,7,4,9,20
73,TTO,3,5,11,19
74,VEN,3,7,9,19
75,TUN,6,4,8,18
76,PHI,3,5,10,18
77,BAH,8,2,6,16
78,MAS,0,8,7,15
79,CHI,3,8,4,15
80,DOM,4,5,6,15
81,KGZ,0,5,8,13
82,HKG,4,3,6,13
83,UGA,5,5,3,13
84,ANZ,3,4,5,12
85,PUR,2,2,8,12
86,PAK,4,3,4,11
87,ECU,4,4,2,10
88,MIX,4,2,4,10
89,LIE,2,2,6,10
90,URU,2,2,6,10
91,MDA,0,3,7,10
92,SCG,2,4,3,9
93,QAT,2,2,5,9
94,ZIM,3,4,1,8
95,BRN,4,3,1,8
96,TJK,1,1,5,7
97,LUX,3,4,0,7
98,SGP,1,2,3,6
99,BOH,0,1,5,6
100,CMR,3,1,2,6
101,AIN,1,3,1,5
102,VIE,1,3,1,5
103,NAM,0,5,0,5
104,CIV,1,1,3,5
105,GHA,0,1,4,5
106,KOS,3,1,1,5
107,GRN,1,1,3,5
108,IOA,1,1,3,5
109,PER,1,3,1,5
110,FIJ,2,1,1,4
111,CRC,1,1,2,4
112,ISL,0,2,2,4
113,BOT,1,2,1,4
114,SYR,1,1,2,4
115,KSA,0,2,2,4
116,PAN,1,1,2,4
117,LBN,0,2,2,4
118,JOR,1,2,1,4
119,ZAM,0,1,2,3
120,SMR,0,1,2,3
121,KUW,0,0,3,3
122,GUA,1,1,1,3
123,BDI,1,1,0,2
124,BER,1,0,1,2
125,ALB,0,0,2,2
126,WIF,0,0,2,2
127,UAE,1,0,1,2
128,UAR,0,1,1,2
129,CYP,0,2,0,2
130,TAN,0,2,0,2
131,SUR,1,0,1,2
132,AFG,0,0,2,2
133,HAI,0,1,1,2
134,MKD,0,1,1,2
135,SRI,0,2,0,2
136,LCA,1,1,0,2
137,MOZ,1,0,1,2
138,NIG,0,1,1,2
139,DMA,1,0,0,1
140,MNE,0,1,0,1
141,MON,0,0,1,1
142,MRI,0,0,1,1
143,BAR,0,0,1,1
144,AHO,0,1,0,1
145,PAR,0,1,0,1
146,ISV,0,1,0,1
147,IRQ,0,0,1,1
148,GUY,0,0,1,1
149,DJI,0,0,1,1
150,BUR,0,0,1,1
151,SAM,0,1,0,1
152,GAB,0,1,0,1
153,CPV,0,0,1,1
154,TOG,0,0,1,1
155,TKM,0,1,0,1
156,SEN,0,1,0,1
157,TGA,0,1,0,1
158,SUD,0,1,0,1
159,EOR,0,0,1,1
160,ERI,0,0,1,1
