rank,country_noc,gold,silver,bronze,total
1,USA,1195.0,969.0,845.0,3009.0
2,URS,473.0,376.0,355.0,1204.0
3,GER,355.0,377.0,366.0,1098.0
4,GBR,312.0,339.0,337.0,988.0
5,FRA,287.0,308.0,356.0,951.0
6,ITA,271.0,244.0,274.0,789.0
7,CHN,285.0,231.0,197.0,713.0
8,SWE,216.0,233.0,248.0,697.0
9,JPN,186.0,178.0,211.0,575.0
10,NOR,208.0,188.0,173.0,569.0
11,AUS,168.0,177.0,218.0,563.0
12,CAN,148.0,184.0,221.0,553.0
13,RUS,194.0,169.0,188.0,551.0
14,HUN,186.0,163.0,186.0,535.0
15,GDR,192.0,165.0,162.0,519.0
16,FIN,151.0,152.0,186.0,489.0
17,NED,151.0,156.0,172.0,479.0
18,SUI,123.0,134.0,132.0,389.0
19,KOR,129.0,121.0,116.0,366.0
20,AUT,96.0,128.0,137.0,361.0
21,POL,82.0,98.0,149.0,329.0
22,ROU,90.0,97.0,122.0,309.0
23,FRG,67.0,82.0,94.0,243.0
24,CUB,84.0,69.0,82.0,235.0
25,BUL,55.0,90.0,85.0,230.0
26,DEN,51.0,86.0,84.0,221.0
27,BEL,50.0,60.0,71.0,181.0
28,ESP,49.0,73.0,52.0,174.0
29,TCH,51.0,58.0,62.0,171.0
30,GRE,44.0,59.0,54.0,157.0
31,BRA,37.0,42.0,71.0,150.0
32,UKR,38.0,38.0,72.0,148.0
33,NZL,55.0,35.0,53.0,143.0
34,EUN,54.0,44.0,37.0,135.0
35,ROC,28.0,46.0,46.0,120.0
36,KEN,35.0,42.0,36.0,113.0
37,BLR,21.0,37.0,47.0,105.0
38,TUR,41.0,26.0,36.0,103.0
39,CZE,29.0,33.0,39.0,101.0
40,RSA,27.0,34.0,30.0,91.0
41,JAM,26.0,36.0,26.0,88.0
42,YUG,26.0,32.0,29.0,87.0
43,KAZ,15.0,24.0,40.0,79.0
44,ARG,21.0,26.0,30.0,77.0
45,IRI,24.0,23.0,29.0,76.0
46,MEX,13.0,24.0,35.0,72.0
47,ETH,23.0,12.0,23.0,58.0
48,PRK,16.0,17.0,24.0,57.0
49,SLO,12.0,17.0,23.0,52.0
50,CRO,18.0,19.0,15.0,52.0
