rank,country_noc,gold,silver,bronze,total
1,NOR,148,134,123,405
2,USA,113,122,95,330
3,GER,112,104,70,286
4,AUT,71,88,91,250
5,CAN,77,72,76,225
6,URS,78,57,59,194
7,SWE,65,51,60,176
8,FIN,45,65,65,175
9,SUI,63,47,58,168
10,NED,53,49,45,147
11,ITA,42,43,56,141
12,FRA,41,42,55,138
13,RUS,46,39,35,120
14,GDR,39,36,35,110
15,KOR,33,30,16,79
16,CHN,22,32,23,77
17,JPN,17,28,31,76
18,ROC,8,18,23,49
19,FRG,11,15,13,39
20,GBR,12,5,17,34
21,CZE,10,11,13,34
22,TCH,2,8,15,25
23,SLO,4,8,12,24
24,EUN,9,6,8,23
25,POL,7,7,9,23
26,BLR,8,7,5,20
27,AUS,6,7,6,19
28,CRO,4,6,1,11
29,LIE,2,2,6,10
30,LAT,1,3,6,10
31,HUN,2,2,6,10
32,SVK,4,4,2,10
33,UKR,3,2,4,9
34,EST,4,2,2,8
35,BEL,2,2,4,8
36,KAZ,1,3,4,8
37,NZL,2,2,2,6
38,BUL,1,2,3,6
39,ESP,1,1,3,5
40,YUG,0,3,1,4
41,LUX,0,2,0,2
42,PRK,0,1,1,2
43,DEN,0,1,0,1
44,ROU,0,0,1,1
45,UZB,1,0,0,1
46,MIX,1,0,0,1
