rank,country_noc,gold,silver,bronze,total
1,NOR,148.0,134.0,123.0,405.0
2,USA,113.0,122.0,95.0,330.0
3,GER,112.0,104.0,70.0,286.0
4,AUT,71.0,88.0,91.0,250.0
5,CAN,77.0,72.0,76.0,225.0
6,URS,78.0,57.0,59.0,194.0
7,SWE,65.0,51.0,60.0,176.0
8,FIN,45.0,65.0,65.0,175.0
9,SUI,63.0,47.0,58.0,168.0
10,NED,53.0,49.0,45.0,147.0
11,ITA,42.0,43.0,56.0,141.0
12,FRA,41.0,42.0,55.0,138.0
13,RUS,46.0,39.0,35.0,120.0
14,GDR,39.0,36.0,35.0,110.0
15,KOR,33.0,30.0,16.0,79.0
16,CHN,22.0,32.0,23.0,77.0
17,JPN,17.0,28.0,31.0,76.0
18,ROC,8.0,18.0,23.0,49.0
19,FRG,11.0,15.0,13.0,39.0
20,GBR,12.0,5.0,17.0,34.0
21,CZE,10.0,11.0,13.0,34.0
22,TCH,2.0,8.0,15.0,25.0
23,SLO,4.0,8.0,12.0,24.0
24,POL,7.0,7.0,9.0,23.0
25,EUN,9.0,6.0,8.0,23.0
26,BLR,8.0,7.0,5.0,20.0
27,AUS,6.0,7.0,6.0,19.0
28,CRO,4.0,6.0,1.0,11.0
29,LIE,2.0,2.0,6.0,10.0
30,LAT,1.0,3.0,6.0,10.0
31,HUN,2.0,2.0,6.0,10.0
32,SVK,4.0,4.0,2.0,10.0
33,UKR,3.0,2.0,4.0,9.0
34,BEL,2.0,2.0,4.0,8.0
35,KAZ,1.0,3.0,4.0,8.0
36,EST,4.0,2.0,2.0,8.0
37,NZL,2.0,2.0,2.0,6.0
38,BUL,1.0,2.0,3.0,6.0
39,ESP,1.0,1.0,3.0,5.0
40,YUG,0.0,3.0,1.0,4.0
41,LUX,0.0,2.0,0.0,2.0
42,PRK,0.0,1.0,1.0,2.0
43,DEN,0.0,1.0,0.0,1.0
44,ROU,0.0,0.0,1.0,1.0
45,UZB,1.0,0.0,0.0,1.0
46,MIX,1.0,0.0,0.0,1.0
